#         t          x          y          z         vx         vy         vz
       8.7500   19214.1913    1938.9244   12540.9323    2258.4387     226.8362    1473.1918
       8.8000   19327.1129    1950.2662   12614.5917    2258.4242     226.8348    1473.1824
       8.8500   19440.0337    1961.6079   12688.2506    2258.4100     226.8333    1473.1731
       8.9000   19552.9539    1972.9495   12761.9090    2258.3959     226.8319    1473.1639
       8.9500   19665.8733    1984.2911   12835.5670    2258.3819     226.8305    1473.1548
       9.0000   19778.7921    1995.6326   12909.2245    2258.3682     226.8291    1473.1458
       9.0500   19891.7102    2006.9740   12982.8815    2258.3546     226.8278    1473.1369
       9.1000   20004.6275    2018.3153   13056.5382    2258.3411     226.8264    1473.1281
       9.1500   20117.5443    2029.6566   13130.1944    2258.3278     226.8250    1473.1194
       9.2000   20230.4603    2040.9978   13203.8501    2258.3146     226.8237    1473.1108
       9.2500   20343.3757    2052.3390   13277.5054    2258.3016     226.8224    1473.1023
       9.3000   20456.2905    2063.6801   13351.1603    2258.2887     226.8211    1473.0939
       9.3500   20569.2046    2075.0211   13424.8148    2258.2760     226.8198    1473.0856
       9.4000   20682.1181    2086.3621   13498.4689    2258.2634     226.8186    1473.0774
       9.4500   20795.0309    2097.7030   13572.1226    2258.2509     226.8173    1473.0692
       9.5000   20907.9432    2109.0438   13645.7758    2258.2386     226.8161    1473.0612
       9.5500   21020.8548    2120.3846   13719.4287    2258.2264     226.8148    1473.0532
       9.6000   21133.7658    2131.7253   13793.0812    2258.2143     226.8136    1473.0454
       9.6500   21246.6762    2143.0659   13866.7332    2258.2024     226.8124    1473.0376
       9.7000   21359.5861    2154.4065   13940.3849    2258.1906     226.8112    1473.0299
       9.7500   21472.4953    2165.7470   14014.0362    2258.1789     226.8100    1473.0222
       9.8000   21585.4040    2177.0875   14087.6871    2258.1673     226.8089    1473.0147
       9.8500   21698.3120    2188.4279   14161.3377    2258.1559     226.8077    1473.0072
       9.9000   21811.2196    2199.7683   14234.9879    2258.1446     226.8066    1472.9998
       9.9500   21924.1265    2211.1086   14308.6377    2258.1333     226.8054    1472.9925
      10.0000   22037.0329    2222.4488   14382.2871    2258.1223     226.8043    1472.9853
       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000
